fire	mei
difficult	kəte-ʃike
easy	tɕine-ba
clean	ta-ka-pʰi-ne-ba
dirty	kamri-ne-ba
smooth	ta-na-ho
rough	tənai
weak	səru-e-ba
early	to-pin-to
late	so-reŋ-ho
wise	se-ka-siŋ-ne-ba
foolish	sa-ka
merry	ko-laŋ-je
grave	mədʑa-huk-je
blind	əmit-tɕʰan-je
lame	əpʰei-kəsik-le
deaf	kəna-su-kok-pa
dumb	ku-mo-so-je
black	i-pa
white	kəŋau-bu
red	kəm-hi
green	səŋ-na
yellow	sa-ru
be	waŋ-lo
remain	ja-lo
do	ju-lo
live	riŋ-lo
die	tʰi-lo
eat	si-lo
drink	suk-lo
sleep	bie-to-lo
wake	tʰau-lo-wa
laugh	ha-kal-lo
weep	tɕut-lo
speak	heŋ-lo
hear	məne-lo
know	to-lo
sing	le-se-lo
dance	məhoi-se
walk	tɕu-lo-ko
run	preŋ-lo
fall	lei-ti-lo
stand	məliŋ-lo
sit	paŋ-lo
want (to)	po-lo
take	kau-lo
seek	pʰe-lo
give	pi-lo
carry	pʰuŋ-lo
bring	pʰuŋ-a-lo
take away	pʰuŋ-to-lo
pick up	kʰeŋ-lo
put down	hwi-hi-lo
cut	ki-te-lo
tear	məkʰi-pa-lo
bite	məka-lo
pull	sim-a-lo
push	tuk-lo
strike	kədaŋ-lo
kill	pʰe-to-lo
bury	phumo
burn	kal-lo
love	muŋ-sa-lo
hate	lei-tɕuŋ-lo
fear	tɕi-lo
be angry	mənuŋ-kaŋ-lo
quarrel	ku-la-lo
steal	mə-hu-lo
buy	lo-lo
sell	jo-ma
work	sel-lo
play	ku-tu-ma
come	wa-lo
arrive	suŋ-lo
jump	po-wa-lo
fly	pre-wa-ma
sneeze	krok-tɕhau-lo
snore	map-hi-lo
belch	tha-ke-ko
cough	krok-ko-li-ho
whisper	kətuk-kətuk le mətan-je
call	ho-lo
see	tok-mo
ask	heng-lo
bind	tre-lo
loosen	tru-lo
smell	nəŋ-mo
I go	i-tɕhu-le
I went	i re rue
I will go	i re ge ba
I go not	i ma re mne
I will not go	i ma tuŋ ma ro-je
I wish to go	i re a niŋ-e
I can go	i re a jau waŋ-e
I may go	i tɕhut phiri-je
let us go	tɕhut se
