fire	mi
carry	phuŋ-lo
bring	kju-ra-lo
take away	phuŋ--to-lo
pick up	khaŋ-ko-lo
put down	tu-ne-lo
cut	hun-shət-lo
tear	heŋ-kai-o
bite	n-ki-lo
pull	soi-min-lo
push	sui-lo
strike	m-phit-lo
kill	la-ta-tan-lo
bury	tɕa-hui-jan-lo
burn	tɕu-nəm-lo
love	lum-lo
hate	jei-si-lo
fear	n-dʑe-lo
be angry	n-rau-lo
quarrel	kə-ləl-lo
steal	leu-lo
buy	lu-lo
sell	jo-lo
work	sə-lo
come	t-ra-lo
arrive	te-lo
jump	loŋ-lo
h	phi-ljue
fly	pei-jo
sneeze	ha-thi-o
snore	ɣe-lo
belch	n-tɕo-re
cough	kətɕu-kədoe
whisper	n-tum-ga-se-me
call	thi-lo
see	jei-lo
ask	han-o
bind	tɕəkui-lo
loosen	si-kai-lo
smell	kəmu-jei-lo
I go	i-re-tu-ko
thou goest	ai-ret-le
I went	i wa-e
I will go	i wa tɕhe
I go not	i ma wa-ne
I will not go	i ma wa ŋai-e
I wish to go	i wa ŋai luk-le
I can go	i na jo-e
I may go	i ret pha-i
let us go	te ta se
go thou	ŋe ret lo
do not go	ma ret lo
give me	i te mi lo
come here	hai ra lo
be silent	sai na ra pem lo
yes	e
no	mə je
why	ki-ga
how	kəthe
how much?	kija kəlo
how large?	kətheu-ke-kəlo
how high?	kədeŋ-ke-tɕhen-kəlo
how deep?	kədeŋ-ke-thuk-kəlo
how far?	kədeŋ-ka-ta-lo
how was it?	kəthen-kəlo
how are you?	kəthe-ga-pem-lo
thus	əthei
there	əra-thei
where	kətɕe-lei-kəlo
now	ə-dew
then	tɕiŋ-an
when	kədaŋ-kilo
today	ə-tɕu
tomorrow	kənem-man
to	lei
from	la-ne
within	te-mui
without	kei-jeu
between	ə-ma-tak
above	ə-kju-su
below	ə-pem-su
